Posicao,Fluxo_Concatenado_rotor,Fluxo_Concatenado_estatorA,Fluxo_Concatenado_estatorB,Fluxo_Concatenado_estatorC
0,-0.001150655186481628,0.1298183703293209,-0.005938028831567001,-0.009192113909400364
5,0.02610157390400542,0.1275863176113923,-0.04002351008249766,0.02880212431888842
10,0.04445572460895458,0.1282558715696821,-0.06284295054500479,0.0492719108112596
15,0.06605314075370822,0.1411362504617039,-0.09012935826378828,0.06928268444567662
20,0.08673896241761836,0.152946407965003,-0.1163576603827348,0.08782124751479555
25,0.100552855513821,0.1624531173249688,-0.1336704373275254,0.09494689764855055
30,0.1159392794031123,0.1813902686270934,-0.1531152700495653,0.09590646423510249
35,0.1297179157637435,0.1992519031282257,-0.1705151463148664,0.09512529171935041
40,0.1388208754300424,0.2118082861280454,-0.1818224261340444,0.08893747190324072
45,0.1478962095675906,0.2284310662937902,-0.1931228455526878,0.07092160234111317
50,0.1546775155584986,0.2426343802381569,-0.2014270180648833,0.05075285056291649
55,0.1590046098890706,0.251564135665443,-0.206475092243766,0.03121546207160798
60,0.1617077025289965,0.2565451923969529,-0.2092717144123236,-0.005909934063095527
65,0.1614135956894017,0.2564284619678481,-0.2076406039684857,-0.04498910179350421
70,0.1616759938867788,0.2569551375593546,-0.2047058961712941,-0.07117571653782993
75,0.1631198909122548,0.259184710558044,-0.2005988553651374,-0.1023889826592589
80,0.1623134442417219,0.2580188687077922,-0.192897228692952,-0.1323742480149179
85,0.1622339761310506,0.2579190420819167,-0.1835620499506499,-0.152171349099015
90,0.1634316889904517,0.2597143645219013,-0.1690825977911983,-0.1743758785497651
95,0.1624168383968286,0.2581929420863253,-0.1517799359529697,-0.194242654649271
100,0.1621429535422742,0.2577659337892169,-0.1356755489938375,-0.2071461004224456
105,0.1631371507132717,0.2592139243672819,-0.111163668029739,-0.2200056912197263
110,0.1618889118368705,0.2572801526968745,-0.0845999351103299,-0.2294319328214821
115,0.1613061561126117,0.2562842533151699,-0.06222640101593642,-0.2350906300007802
120,0.1618215363395545,0.2567516462062228,-0.02860912614842363,-0.2380705548732872
125,0.1594261981530756,0.2523161729425236,0.004597196052269496,-0.2355832348140363
130,0.1550556754520522,0.2434896783537678,0.02289860140115813,-0.2298705955608894
135,0.1485440524852141,0.2297208303495814,0.0432347241127685,-0.2208554128991536
140,0.1396087980280411,0.213102857661406,0.06308191593584224,-0.2081921468885582
145,0.1305890404913801,0.2003555987319291,0.07166754536674835,-0.1954213555898395
150,0.1171549073215442,0.182965949731172,0.07496471291799833,-0.1760673217771813
155,0.1017463227653412,0.1637749761488796,0.07691781738785926,-0.153811572557067
160,0.08810555268134276,0.1536012305230455,0.07314559266924568,-0.1342779703895702
165,0.06783253032071276,0.1422207124555995,0.05879381848207369,-0.1049014308957813
170,0.04604763376086152,0.1290945080687847,0.04257549532166657,-0.07339265938197757
175,0.02794272051807531,0.1271910851647133,0.02629504433022592,-0.04760742662539118
180,0.001150681837442477,0.1298183434405964,-0.005938021449554866,-0.009192165682411768
185,-0.02610157315032746,0.1275863172050052,-0.04002351046256537,0.02880212507844045
190,-0.04446204661953127,0.128265978678836,-0.06285124385745448,0.04927630390420332
195,-0.0660536656764209,0.1411355572636677,-0.09013005738079964,0.06928350188458171
200,-0.08673896567299898,0.1529464076448489,-0.1163576609576633,0.08782124725329733
205,-0.1005591119952012,0.1624626220303462,-0.1336786180807679,0.09494637113382513
210,-0.1159392778767364,0.1813902679094319,-0.1531152692004369,0.09590646421639613
215,-0.1297179261777595,0.1992519043232079,-0.1705151655279519,0.0951252899041805
220,-0.1388238476678108,0.2118128880400955,-0.1818264762021886,0.08893479997197033
225,-0.1478962095680598,0.2284310662939898,-0.1931228455528418,0.07092160234124759
230,-0.1546774041107777,0.2426344188681375,-0.2014267447487214,0.05075256843292349
235,-0.1590046098914734,0.2515641356655994,-0.2064750922439964,0.03121546207163143
240,-0.1617073329734264,0.2565447884644243,-0.2092712237808619,-0.005910507349878545
245,-0.1614142434688293,0.2564294058100635,-0.2076414259535509,-0.04498809499115428
250,-0.1616763174190983,0.2569559160582074,-0.2047062226032277,-0.0711752627837085
255,-0.1631206090598277,0.2591857455155598,-0.2005997079260536,-0.1023881770649711
260,-0.1623124708405389,0.2580170587596401,-0.1928960904132483,-0.1323753332693008
265,-0.1622339681110732,0.2579190517384427,-0.1835621081659279,-0.1521713367624373
270,-0.1634311622380106,0.2597135981574968,-0.1690819422605348,-0.1743761395209283
275,-0.1624169152779588,0.2581929009492031,-0.1517799159198112,-0.1942426670738433
280,-0.1621367698033717,0.2577567689283332,-0.1356794089911833,-0.2071368084405487
285,-0.1631365246982903,0.2592129599643823,-0.1111627938694929,-0.2200055187393586
290,-0.1618897496704469,0.2572813691844303,-0.08460097548691457,-0.2294324353645642
295,-0.1613060052270677,0.2562840888695248,-0.06222627055585435,-0.2350903614216668
300,-0.1618221623132192,0.2567526115087628,-0.02861003249615801,-0.2380712501389825
305,-0.1594269659700042,0.2523172572920327,0.004596091620755846,-0.2355843623140209
310,-0.1550583643136994,0.2434921298271285,0.02290262663006648,-0.2298744397341379
315,-0.1485445397528115,0.2297215748749089,0.04323406326026873,-0.2208561270304585
320,-0.1396088042144338,0.213102860857159,0.06308191434056573,-0.208192165441616
325,-0.1305891382280451,0.2003557475194818,0.07166746864396664,-0.1954214518123812
330,-0.1171549100075991,0.1829659460639671,0.07496471392333295,-0.1760673187044733
335,-0.1017463224453399,0.1637749763224659,0.07691781747092137,-0.1538115745074288
340,-0.08810180620232846,0.1536048255313575,0.07314067898918493,-0.1342724330296628
345,-0.06783322173070103,0.1422217586642232,0.05879390456326052,-0.1049024637431863
350,-0.04604675747365786,0.1290932119825864,0.0425750776873792,-0.07339146536746226
355,-0.02794602504755158,0.1271853559759889,0.02629909501443974,-0.04761237146205658
