Posicao,Fluxo_Concatenado_rotor,Fluxo_Concatenado_estatorA,Fluxo_Concatenado_estatorB,Fluxo_Concatenado_estatorC
0,-0.1412544703013735,-0.005938519191527075,0.2344496858251199,-0.2074090871022759
5,-0.1410710104547168,-0.04002351046299402,0.2344562355473376,-0.2053231100408491
10,-0.1413244690341324,-0.0628508394578588,0.2348918231839504,-0.2004189764055393
15,-0.1426216978707596,-0.09013003896972721,0.2366586563267908,-0.1925727450022046
20,-0.1419496684249628,-0.1163585776906926,0.235800010663754,-0.1815170374766201
25,-0.1419103100264228,-0.1336785279708848,0.2357658003579136,-0.1703515746277776
30,-0.1429905509155722,-0.1531152692086777,0.237200993857779,-0.1534243623247245
35,-0.1421364279403382,-0.1705151625452548,0.2360773546433592,-0.1339500812556708
40,-0.1419324011779102,-0.1818302082481468,0.2358032808429832,-0.11683723923892
45,-0.1428467214210408,-0.1931227430420557,0.2370005585505985,-0.0911107348281798
50,-0.1418100204635644,-0.2014267447563483,0.2356071641678176,-0.06348939192579156
55,-0.14138441483093,-0.2064753304534309,0.2349864837193645,-0.04083768979247032
60,-0.1419835588363452,-0.2092717166983557,0.2356354765294167,-0.007021878913201683
65,-0.1402806892466542,-0.2076406039715432,0.2329674141139694,0.02681034243362605
70,-0.1378771424259889,-0.2047114129248049,0.2286162565516217,0.04686046651743771
75,-0.1347402738772695,-0.2005988796195078,0.2223075252272421,0.06829575108673081
80,-0.1292123287154786,-0.192897228693823,0.2130182180865711,0.08796571718482182
85,-0.1225746750434314,-0.1835611143749898,0.2039911232048543,0.0960380839440273
90,-0.1124849562975065,-0.1690819438655961,0.1909734767534217,0.09930833374586076
95,-0.1004727228805566,-0.151779077592035,0.1763559995937147,0.1007286699802238
100,-0.0892104362358368,-0.135675320587919,0.168080095093181,0.09624245339187813
105,-0.07227943485053343,-0.1111627938713165,0.1584114255330026,0.08160416756343042
110,-0.05389869506446741,-0.08460096617671389,0.1474817238233292,0.06488576412096397
115,-0.03817487958485372,-0.06221751130068455,0.1458941657014752,0.04790746633307533
120,-0.01473133617691286,-0.02860918356062628,0.1480048220873684,0.01540684870164506
125,0.009097945800741303,0.004597195036311626,0.1462503165848057,-0.01875653465028885
130,0.02545223887220333,0.02290249327832734,0.1461367776835502,-0.04206516400555597
135,0.04628425348651295,0.04323406326310308,0.1526321376641011,-0.07223723599453087
140,0.06685066279163106,0.06308118726659923,0.1573383937124304,-0.1021122832907199
145,0.08055303815488243,0.07166753419759871,0.1620980634165731,-0.1217841698777181
150,0.09569633278140824,0.07496471300807985,0.1755949998730497,-0.1436816948364858
155,0.1095348417251544,0.0769178177909422,0.1884872700249782,-0.1636796400622039
160,0.1186105651384977,0.073145403351768,0.1978101039459423,-0.1765744616331788
165,0.127500699452254,0.05879387588449581,0.2112134973897894,-0.1892125601729635
170,0.1343799396212901,0.04257549542687851,0.2229598383686955,-0.1988321861379253
175,0.1387085200978493,0.02629877653997791,0.2303586874602708,-0.2045619047259902
180,0.1412544987168498,-0.005938527391858302,0.2344496698479676,-0.2074090685585579
185,0.1410705301948151,-0.04002448125338708,0.2344555547907549,-0.2053222596213195
190,0.1413244859884389,-0.062850783636641,0.2348918391265557,-0.2004190110343713
195,0.1426221759560771,-0.09012935712222317,0.2366593200201148,-0.1925736048824628
200,0.1419496684024157,-0.1163585777101675,0.2358000106334185,-0.1815170374547209
205,0.1419105258677028,-0.1336787153181041,0.2357659582841228,-0.170351810117114
210,0.1429905411619958,-0.1531152574520365,0.2372009798659226,-0.153424361299439
215,0.1421365910582532,-0.17051516552626,0.2360774600391248,-0.1339500903987914
220,0.1419273429677349,-0.1818222336134772,0.2357967639831963,-0.1168419996827131
225,0.142847162437581,-0.193122862121513,0.2370011519642954,-0.09111143016853081
230,0.1418100666711673,-0.2014267245711646,0.2356072867141474,-0.06348936319859801
235,0.1413896167701271,-0.2064830791687712,0.2349933718086364,-0.0408288298678368
240,0.1419835588326534,-0.209271716698847,0.2356354765299123,-0.007021878913163481
245,0.140281299243537,-0.2076414259385271,0.2329681797395086,0.02680938723571664
250,0.137877116168413,-0.2047113446341283,0.2286162075902035,0.04686053216478586
255,0.1347407879488028,-0.2005996901069275,0.222308260631308,0.06829503568711566
260,0.1292123470076607,-0.1928972419442251,0.2130182295344165,0.08796572287093907
265,0.1225755069095435,-0.1835623667315656,0.2039913675512235,0.09603934425960264
270,0.112485389836431,-0.1690825923799947,0.1909740478845294,0.09930811108114412
275,0.10047270753124,-0.1517790615125222,0.1763559984777144,0.1007286675761397
