Posicao,Fluxo_Concatenado_rotor,Fluxo_Concatenado_estatorA,Fluxo_Concatenado_estatorB,Fluxo_Concatenado_estatorC
0,0.1617779348754693,-0.009191291483097278,-0.2074090987064068,0.2566872332589969
5,0.1593822411294688,0.0288033357332091,-0.2053222596112425,0.252251387483275
10,0.1550453021417964,0.0492762590650653,-0.2004186724907635,0.2434741969702596
15,0.1485420750407918,0.06928350559411396,-0.1925727450641776,0.2297197326355209
20,0.1396100015490803,0.0878212391364817,-0.1815181600227591,0.2131061820775138
25,0.1305863657059895,0.09494637113423624,-0.170351674659078,0.2003543931309931
30,0.1171550036377727,0.09590612700237526,-0.153425218339585,0.1829671373761969
35,0.1017477874409021,0.09512529172233047,-0.133950098475742,0.1637781207942181
40,0.08810516831088672,0.08893745846087109,-0.1168420043235504,0.1536019940973597
45,0.06783216352899205,0.07092160239537604,-0.09111142612463338,0.1422229516460175
50,0.04604496687856124,0.05075256530022056,-0.06348936324759597,0.1290933346242499
55,0.02794209256886282,0.0312108194649581,-0.0408336575589586,0.127192376842543
60,0.001149780628084097,-0.005910507332126585,-0.007021163431055317,0.1298182637591482
65,-0.02611302867746156,-0.04498910174652282,0.02681034242396379,0.1275974706588112
70,-0.04450860836454264,-0.07118501184885696,0.04686071536309573,0.1283403016186354
75,-0.06609992618807722,-0.1023889803217781,0.06829573919384642,0.1412096211794202
80,-0.08678501193348318,-0.1323753343963819,0.08796644484323825,0.1530177230953294
85,-0.1006021582689941,-0.1521667107396529,0.09603934507923423,0.1625309201902175
90,-0.115984026793048,-0.17437615238191,0.09930833374577262,0.1814599713217195
95,-0.1297624187239913,-0.1942426546216538,0.1007285462163776,0.1993208304599217
100,-0.1388710702715929,-0.207145904401644,0.09624246582821844,0.2118846001320427
105,-0.1479390295384343,-0.2200056912221051,0.08160432465718498,0.2284960599622653
110,-0.1547233775430718,-0.2294324353816994,0.06488575968190241,0.2427031980423295
115,-0.159047267919483,-0.2350903234416734,0.04791607777559387,0.251628610632264
120,-0.1617502382032172,-0.2380704954366164,0.0154068487490756,0.2566101713486951
125,-0.1614518738269992,-0.2355844036672607,-0.01875544874699019,0.2564868954707085
130,-0.161648253559292,-0.2298723601028762,-0.04206142744206466,0.2569154806112006
135,-0.1630791417126066,-0.2208553944728288,-0.07223786080500853,0.2591250581790796
140,-0.1622693114986245,-0.2081921459596626,-0.1021129476860866,0.2579532620574073
145,-0.1621846987710608,-0.1954217430134718,-0.1217803558525134,0.2578460647313227
150,-0.1633876428512616,-0.1760665642257642,-0.143682060423672,0.2596495119113775
155,-0.1623748510556512,-0.1538115712164709,-0.1636796401365999,0.2581307407178627
160,-0.1621011613836579,-0.1342722601693388,-0.176582496816295,0.2577049040544812
165,-0.1630934817572214,-0.1049024384891457,-0.1892125605036042,0.2591496413838068
170,-0.1618445090129806,-0.07339146556304646,-0.1988318929444172,0.2572144729161423
175,-0.1612681434076498,-0.04760239622893971,-0.2045701047880271,0.2562281391134584
180,-0.1617779348769945,-0.009191291483099034,-0.2074090987061486,0.2566872332587451
185,-0.1593829545550085,0.0288021244967409,-0.2053231070194326,0.2522525327896958
190,-0.1550424809261133,0.04927181578193139,-0.2004149789605942,0.2434715659981953
195,-0.1485420661364642,0.06928350186758549,-0.1925727681770915,0.229719712806721
200,-0.1396092055649383,0.08782204472811545,-0.1815170390562568,0.2131050396181659
205,-0.1305862311688857,0.09494626784035398,-0.1703515747512379,0.2003542453151013
210,-0.1171550047923757,0.09590612592091041,-0.1534252196064562,0.1829671398901099
215,-0.101747787441128,0.09512529172236516,-0.1339500984757709,0.1637781207942153
220,-0.0881033916655222,0.08893478588485783,-0.1168398396314943,0.153603864328952
225,-0.06783216353316704,0.0709216023424674,-0.09111142613194831,0.142222951970814
230,-0.04604496687656828,0.05075256530046975,-0.06348936324781163,0.1290933346243588
235,-0.02793855280157336,0.03120547948686389,-0.04082879759505687,0.1271979976622751
240,-0.001149772846783844,-0.005910518740167604,-0.007021152309752727,0.1298182842628135
245,0.02611227703747788,-0.04498809498587608,0.02680938723925659,0.1275986619953757
250,0.04450539562376157,-0.07118003271987551,0.04685690504936492,0.1283359486422054
255,0.06609993779710011,-0.1023889831111452,0.06829575108686588,0.1412096336871739
260,0.08678442959855337,-0.1323742508532522,0.0879657174517658,0.153018536363539
265,0.1006022401791118,-0.1521668232404314,0.09603816991012763,0.1625309280922059
270,0.1159840180530817,-0.1743761395218871,0.09930833458320557,0.1814599558868246
275,0.1297624187399021,-0.1942426546472074,0.100728546128311,0.199320830571757
280,0.1388710234923966,-0.2071458261335939,0.09624246392913086,0.2118845924334019
285,0.1479389121277036,-0.2200055187375974,0.08160416756560164,0.2284960241630544
290,0.1547233389150963,-0.2294324342447217,0.06488574382806162,0.2427031693472107
295,0.1590475019919167,-0.2350905925910192,0.04791639484430152,0.2516290117480581
300,0.1617507035758131,-0.2380712501393906,0.01540748388377486,0.2566107571307371
305,0.1614518569405087,-0.2355843944003525,-0.01875544357432896,0.2564869768576495
310,0.161645228376797,-0.2298702594121694,-0.04205703049701547,0.2569109641335339
315,0.1630796269542655,-0.2208561270307356,-0.07223723599824039,0.2591257641852094
320,0.162269840940305,-0.2081931030686968,-0.1021122950127401,0.2579540253034192
325,0.1621905723178163,-0.195421011647318,-0.1217886229533894,0.257854865306903
330,0.1633876984975175,-0.1760665611667051,-0.1436820607175274,0.259649396363173
335,0.1623755315982229,-0.1538126229206618,-0.1636792545831083,0.2581317423220536
340,0.1621011125299186,-0.1342723611973451,-0.1765824672431271,0.2577046292991762
345,0.1630928461175566,-0.1049014094747996,-0.1892125075369323,0.259148716800995
350,0.161845355082724,-0.07339266059407582,-0.1988321861312179,0.2572157279295512
355,0.1612681433608517,-0.04760239606121659,-0.2045701047347356,0.2562281390625466
